"follower_id";"grp"
NA;"frp"
"1591145687466532866";"frp"
"1254042828864397313";"frp"
"1184195215105675264";"frp"
"2689665578";"frp"
"1526985275934654464";"frp"
"3318549610";"frp"
"1392068004209471489";"frp"
"1524619745558941696";"frp"
"1597969620572536832";"frp"
"453398028";"frp"
"3686343375";"frp"
"1544100615130943498";"frp"
"1597147409351692289";"frp"
"1498329965858852865";"frp"
"1481002334624886785";"frp"
"1589696902802673664";"frp"
"1486402455063695368";"frp"
"2691413367";"frp"
"43738572";"frp"
"624921653";"frp"
"877264633677193217";"frp"
"1381992570499309571";"frp"
"1448618986103508996";"frp"
"1159259853535293441";"frp"
"3324494591";"frp"
"1594708391078903810";"frp"
"1584529519410561025";"frp"
"1589602567025197057";"frp"
"997495174187180033";"frp"
"1594218669328015360";"frp"
"1311632455867207681";"frp"
"1517082055334678529";"frp"
"840545515";"frp"
"1448377848981565442";"frp"
"262533672";"frp"
"1290282555263123458";"frp"
"567541517";"frp"
"1593030485390901249";"frp"
"970127672";"frp"
"1554182409763131394";"frp"
"1105021068";"frp"
"1398224042461630464";"frp"
"1547188101092675584";"frp"
"2761718683";"frp"
"1445328240311246853";"frp"
"1364667615390662669";"frp"
"1139099576588222464";"frp"
"1520120307885002754";"frp"
"1590753681028390912";"frp"
"1589373633100759040";"frp"
"1548297963335663617";"frp"
"1296478430175911937";"frp"
"1106308523267444739";"frp"
"963128695081730048";"frp"
"1384446301";"frp"
"1148228227";"frp"
"1584538171207041024";"frp"
"1311420488";"frp"
"69555955";"frp"
"1490406839221112835";"frp"
"1169320897922183171";"frp"
"1588507787943968769";"frp"
"630252461";"frp"
"1587177228881780736";"frp"
"1586114901419954176";"frp"
"631840181";"frp"
"1521168143959343107";"frp"
"1368930354468388873";"frp"
"1152934612605296642";"frp"
"1331756676907737090";"frp"
"1523620798904287233";"frp"
"1299282796511465472";"frp"
"1226079704828071938";"frp"
"1508420668957863937";"frp"
"515803052";"frp"
"520783531";"frp"
"1349769151087259652";"frp"
"1234657409043456000";"frp"
"1510965404553854984";"frp"
"1352274610507702276";"frp"
"1451527520608788492";"frp"
"56786521";"frp"
"807118404";"frp"
"542824095";"frp"
"1467531907881750531";"frp"
"993598669";"frp"
"906253214";"frp"
"1586718312959983616";"frp"
"897046338";"frp"
"1333020147997683713";"frp"
"1479903043982446592";"frp"
"1505225353626898433";"frp"
"1575493088159485953";"frp"
"1583093778671407104";"frp"
"1419051949392080896";"frp"
"746067037735256065";"frp"
"1585896324469342208";"frp"
"1403618167029698563";"frp"
"805837025723187200";"frp"
"1579460357348786176";"frp"
"1268782642029309952";"frp"
"905792224981606400";"frp"
"2882983457";"frp"
"35259388";"frp"
"1394716961502867463";"frp"
"178004354";"frp"
"1420701871757484041";"frp"
"391628121";"frp"
"1282063085021409280";"frp"
"886252511753011201";"frp"
"1583815393956741120";"frp"
"3063998776";"frp"
"868831173761433600";"frp"
"1582318974875975680";"frp"
"1009166236624842758";"frp"
"1322491912427872258";"frp"
"840571640895422464";"frp"
"4895965385";"frp"
"1088921400050634752";"frp"
"906624216426012673";"frp"
"1578145408680968200";"frp"
"1582762232361979905";"frp"
"420299485";"frp"
"1212333263827554304";"frp"
"1137256390857281536";"frp"
"1435573345794285573";"frp"
"1346478878890422272";"frp"
"1552943350147325953";"frp"
"1574072636409266176";"frp"
"1582333157864505344";"frp"
"633342024";"frp"
"1062395654696128513";"frp"
"1380602414936494082";"frp"
"3091729227";"frp"
"1490329472704393217";"frp"
"748653384371146754";"frp"
"393409142";"frp"
"503361474";"frp"
"1519381122957942791";"frp"
"1237851955554213890";"frp"
"1503468674111488010";"frp"
"735051887997812736";"frp"
"1377601609514024961";"frp"
"3010559949";"frp"
"1487780874510909443";"frp"
"1446242730405941250";"frp"
"1579970431397814273";"frp"
"1577331385509023746";"frp"
"421406745";"frp"
"1431637912710488070";"frp"
"494864928";"frp"
"1508220082723475456";"frp"
"1573379747052244993";"frp"
"1578461210441404417";"frp"
"899661621164998657";"frp"
"1548675287977791488";"frp"
"1577780082336305153";"frp"
"1573585433619009536";"frp"
"1360901681949646852";"frp"
"1573262251594862599";"frp"
"1028960244817436673";"frp"
"1033307516703334400";"frp"
"1498354054187126788";"frp"
"3047921773";"frp"
"1567959390535270407";"frp"
"915673854143582209";"frp"
"1347940886878027776";"frp"
"1005217562324586498";"frp"
"1457076023200305155";"frp"
"2197940667";"frp"
"1167828249315086338";"frp"
"1357344344382996489";"frp"
"1281479160";"frp"
"1160810333667319808";"frp"
"2248474104";"frp"
"838313549957050374";"frp"
"1512180425254387717";"frp"
"1552558830810193920";"frp"
"1562052528086327299";"frp"
"1575589382509117440";"frp"
"714399775131635712";"frp"
"792060475630612481";"frp"
"2244280724";"frp"
"971142266667651072";"frp"
"2316401301";"frp"
"756540680839782400";"frp"
"528420017";"frp"
"1549496632370024449";"frp"
"1049530058963120133";"frp"
"1574144574573928452";"frp"
