"to_id";"from_id"
"Gianvit52084143";NA
"LS__Roma";"1615678842"
"LS__Roma";"1591145687466532866"
"LS__Roma";"1275882275046121472"
"LS__Roma";"1171188129115623424"
"LS__Roma";"1254042828864397313"
"ForzaNuova1997";"69901855"
"ForzaNuova1997";"1601693659719688193"
"ForzaNuova1997";"1184195215105675264"
"ForzaNuova1997";"866019835305754624"
"ForzaNuova1997";"2689665578"
"ForzaNuova1997";"290990720"
"ForzaNuova1997";"1600613944535695362"
"ForzaNuova1997";"1526985275934654464"
"ForzaNuova1997";"1169196669713506304"
"ForzaNuova1997";"1600089473693487105"
"ForzaNuova1997";"378446987"
"ForzaNuova1997";"3318549610"
"ForzaNuova1997";"1588649438372937732"
"ForzaNuova1997";"949531316583915521"
"ForzaNuova1997";"1598107700734447616"
"ForzaNuova1997";"1392068004209471489"
"ForzaNuova1997";"1598308710744576003"
"ForzaNuova1997";"1524619745558941696"
"ForzaNuova1997";"1572196849024376834"
"ForzaNuova1997";"1597969620572536832"
"ForzaNuova1997";"453398028"
"ForzaNuova1997";"3686343375"
"ForzaNuova1997";"3141877876"
"ForzaNuova1997";"1331196945499648001"
"ForzaNuova1997";"1544100615130943498"
"ForzaNuova1997";"1597147409351692289"
"ForzaNuova1997";"1588984954792329223"
"ForzaNuova1997";"1498329965858852865"
"ForzaNuova1997";"1155524495429513217"
"ForzaNuova1997";"1512455178791829518"
"ForzaNuova1997";"1481002334624886785"
"ForzaNuova1997";"1498338491863814145"
"ForzaNuova1997";"1593912505797074945"
"ForzaNuova1997";"1596871487679602689"
"ForzaNuova1997";"2608553411"
"ForzaNuova1997";"1575825470939369473"
"ForzaNuova1997";"1589696902802673664"
"ForzaNuova1997";"1486402455063695368"
"ForzaNuova1997";"1271354364372955137"
"ForzaNuova1997";"1595855781596897382"
"ForzaNuova1997";"1587910764374986754"
"ForzaNuova1997";"1411778301752918022"
"ForzaNuova1997";"2691413367"
"ForzaNuova1997";"1595182707511889920"
"ForzaNuova1997";"43738572"
"ForzaNuova1997";"624921653"
"ForzaNuova1997";"877264633677193217"
"ForzaNuova1997";"393657311"
